Layer_thickness,Build_orient,Build_temp,Extr_temp,Print_speed,Dim_accuracy,Porosity,Strength
0.33,0.00,0.33,0.80,0.33,7,13,29
0.33,0.00,0.33,0.90,0.67,4.5,9.5,33.5
0.33,0.00,0.33,1.00,1.00,6.5,11,30.5
0.33,0.00,0.67,0.80,0.67,7.5,13,29.5
0.33,0.00,0.67,0.90,1.00,4,8.5,32.5
0.33,0.00,0.67,1.00,0.33,6.5,11,31.5
0.33,0.00,1.00,0.80,1.00,8.75,14.5,26.5
0.33,0.00,1.00,0.90,0.33,6.5,12.5,29.5
0.33,0.00,1.00,1.00,0.67,6,11,30
0.33,0.50,0.33,0.80,0.67,7,13.5,28
0.33,0.50,0.33,0.90,1.00,6.5,13.5,28
0.33,0.50,0.33,1.00,0.33,6,12,28.75
0.33,0.50,0.67,0.80,1.00,7.5,14,27
0.33,0.50,0.67,0.90,0.33,5.5,11,30
0.33,0.50,0.67,1.00,0.67,5,11,30.5
0.33,0.50,1.00,0.80,0.33,6.5,13,26.5
0.33,0.50,1.00,0.90,0.67,6,13,24.5
0.33,0.50,1.00,1.00,1.00,7,12.5,27.25
0.33,1.00,0.33,0.80,1.00,6.5,11.5,28.5
0.33,1.00,0.33,0.90,0.33,6,10.5,29
0.33,1.00,0.33,1.00,0.67,5.5,10,30.5
0.33,1.00,0.67,0.80,0.33,7.5,12.5,28
0.33,1.00,0.67,0.90,0.67,4.5,9.5,33
0.33,1.00,0.67,1.00,1.00,6,10.5,30
0.33,1.00,1.00,0.80,0.67,8,13,26
0.33,1.00,1.00,0.90,1.00,6,11,26
0.33,1.00,1.00,1.00,0.33,7,12,25.5
0.67,0.00,0.33,0.80,0.67,4,7.5,35.5
0.67,0.00,0.33,0.90,1.00,3.5,6,37
0.67,0.00,0.33,1.00,0.33,4.5,8.5,35
0.67,0.00,0.67,0.80,1.00,3.5,6.5,41
0.67,0.00,0.67,0.90,0.33,1,2,47.5
0.67,0.00,0.67,1.00,0.67,1,1.5,48
0.67,0.00,1.00,0.80,0.33,3.5,7.5,42
0.67,0.00,1.00,0.90,0.67,2.5,2,46
0.67,0.00,1.00,1.00,1.00,4,5.5,41
0.67,0.50,0.33,0.80,1.00,5,10,32.5
0.67,0.50,0.33,0.90,0.33,3.5,4.5,38.5
0.67,0.50,0.33,1.00,0.67,3.5,4.5,36
0.67,0.50,0.67,0.80,0.33,4,6,35
0.67,0.50,0.67,0.90,0.67,1.75,1.5,41.5
0.67,0.50,0.67,1.00,1.00,4,6.5,35.5
0.67,0.50,1.00,0.80,0.67,5.5,8.5,33.5
0.67,0.50,1.00,0.90,1.00,4.5,6.75,38
0.67,0.50,1.00,1.00,0.33,6,8.5,35
0.67,1.00,0.33,0.80,0.33,6.5,8.5,32.5
0.67,1.00,0.33,0.90,0.67,5,6.5,37
0.67,1.00,0.33,1.00,1.00,5.5,8.5,35
0.67,1.00,0.67,0.80,0.67,4,6.5,35.5
0.67,1.00,0.67,0.90,1.00,3,5,38.5
0.67,1.00,0.67,1.00,0.33,4.25,7.5,35
0.67,1.00,1.00,0.80,1.00,8,11.5,28.5
0.67,1.00,1.00,0.90,0.33,6.5,9,35
0.67,1.00,1.00,1.00,0.67,6,9,36
1.00,0.00,0.33,0.80,1.00,8,11,31.5
1.00,0.00,0.33,0.90,0.33,7,10,35
1.00,0.00,0.33,1.00,0.67,7.25,11,34
1.00,0.00,0.67,0.80,0.33,6.5,10,34
1.00,0.00,0.67,0.90,0.67,5,6.5,42
1.00,0.00,0.67,1.00,1.00,7,10,35.5
1.00,0.00,1.00,0.80,0.67,7.5,11.5,33
1.00,0.00,1.00,0.90,1.00,7,10,35
1.00,0.00,1.00,1.00,0.33,6.5,10,33.5
1.00,0.50,0.33,0.80,0.33,8,14,30.5
1.00,0.50,0.33,0.90,0.67,6,10.5,33.5
1.00,0.50,0.33,1.00,1.00,7,12,30.5
1.00,0.50,0.67,0.80,0.67,7,11,31.5
1.00,0.50,0.67,0.90,1.00,6,8.5,35
1.00,0.50,0.67,1.00,0.33,7,10,33
1.00,0.50,1.00,0.80,1.00,8.5,15,25
1.00,0.50,1.00,0.90,0.33,7,13,25
1.00,0.50,1.00,1.00,0.67,8,14,24.5
1.00,1.00,0.33,0.80,0.67,7.5,15,23
1.00,1.00,0.33,0.90,1.00,7,13.5,24
1.00,1.00,0.33,1.00,0.33,7.5,13.5,24.5
1.00,1.00,0.67,0.80,1.00,9.5,14.5,22
1.00,1.00,0.67,0.90,0.33,8,13,24
1.00,1.00,0.67,1.00,0.67,7.5,12,26
1.00,1.00,1.00,0.80,0.33,9.75,18,20.5
1.00,1.00,1.00,0.90,0.67,8,15.5,23
1.00,1.00,1.00,1.00,1.00,9.5,18,21
0.33,0.00,0.33,0.80,0.33,6,11,34
0.33,0.00,0.33,0.90,0.67,4,9,37
0.33,0.00,0.33,1.00,1.00,6,10,35
0.33,0.00,0.67,0.80,0.67,7,12,35
0.33,0.00,0.67,0.90,1.00,4,8,37
0.33,0.00,0.67,1.00,0.33,4,7,40
0.33,0.00,1.00,0.80,1.00,8,13,32
0.33,0.00,1.00,0.90,0.33,7,13,31
0.33,0.00,1.00,1.00,0.67,7,14,30
0.33,0.50,0.33,0.80,0.67,5,11,34
0.33,0.50,0.33,0.90,1.00,5,12,35
0.33,0.50,0.33,1.00,0.33,5,10,36
0.33,0.50,0.67,0.80,1.00,7,13,33
0.33,0.50,0.67,0.90,0.33,4,8,39
0.33,0.50,0.67,1.00,0.67,4,10,36
0.33,0.50,1.00,0.80,0.33,5,13,31
0.33,0.50,1.00,0.90,0.67,5,14,25
0.33,0.50,1.00,1.00,1.00,6,12,32
0.33,1.00,0.33,0.80,1.00,7,13,30
0.33,1.00,0.33,0.90,0.33,5,12,32
0.33,1.00,0.33,1.00,0.67,5,12,33
0.33,1.00,0.67,0.80,0.33,6,13,33
0.33,1.00,0.67,0.90,0.67,4,11,35
0.33,1.00,0.67,1.00,1.00,6,12,32
0.33,1.00,1.00,0.80,0.67,8,15,28
0.33,1.00,1.00,0.90,1.00,5,12,29
0.33,1.00,1.00,1.00,0.33,6,12,30
0.67,0.00,0.33,0.80,0.67,5,10,36
0.67,0.00,0.33,0.90,1.00,4,8,42
0.67,0.00,0.33,1.00,0.33,4,9,40
0.67,0.00,0.67,0.80,1.00,5,10,39
0.67,0.00,0.67,0.90,0.33,0,0,50
0.67,0.00,0.67,1.00,0.67,1,0,48
0.67,0.00,1.00,0.80,0.33,4,10,42
0.67,0.00,1.00,0.90,0.67,2,0,49
0.67,0.00,1.00,1.00,1.00,4,5,42
0.67,0.50,0.33,0.80,1.00,5,12,32
0.67,0.50,0.33,0.90,0.33,3,2,40
0.67,0.50,0.33,1.00,0.67,3,3,38
0.67,0.50,0.67,0.80,0.33,3,4,38
0.67,0.50,0.67,0.90,0.67,1,0,44
0.67,0.50,0.67,1.00,1.00,4,8,34
0.67,0.50,1.00,0.80,0.67,6,10,32
0.67,0.50,1.00,0.90,1.00,5,8,38
0.67,0.50,1.00,1.00,0.33,6,9,36
0.67,1.00,0.33,0.80,0.33,6,9,32
0.67,1.00,0.33,0.90,0.67,4,8,33
0.67,1.00,0.33,1.00,1.00,4,9,31
0.67,1.00,0.67,0.80,0.67,3,9,30
0.67,1.00,0.67,0.90,1.00,3,7,34
0.67,1.00,0.67,1.00,0.33,3,8,32
0.67,1.00,1.00,0.80,1.00,8,13,23
0.67,1.00,1.00,0.90,0.33,6,10,35
0.67,1.00,1.00,1.00,0.67,5,9,38
1.00,0.00,0.33,0.80,1.00,7,10,33
1.00,0.00,0.33,0.90,0.33,6,9,38
1.00,0.00,0.33,1.00,0.67,6,9,37
1.00,0.00,0.67,0.80,0.33,6,10,35
1.00,0.00,0.67,0.90,0.67,5,6,46
1.00,0.00,0.67,1.00,1.00,7,10,36
1.00,0.00,1.00,0.80,0.67,7,11,35
1.00,0.00,1.00,0.90,1.00,7,10,37
1.00,0.00,1.00,1.00,0.33,7,9,37
1.00,0.50,0.33,0.80,0.33,8,16,32
1.00,0.50,0.33,0.90,0.67,6,11,35
1.00,0.50,0.33,1.00,1.00,7,12,33
1.00,0.50,0.67,0.80,0.67,8,12,33
1.00,0.50,0.67,0.90,1.00,7,8,38
1.00,0.50,0.67,1.00,0.33,8,10,36
1.00,0.50,1.00,0.80,1.00,9,15,22
1.00,0.50,1.00,0.90,0.33,8,14,24
1.00,0.50,1.00,1.00,0.67,8,14,25
1.00,1.00,0.33,0.80,0.67,8,15,23
1.00,1.00,0.33,0.90,1.00,8,14,24
1.00,1.00,0.33,1.00,0.33,9,15,24
1.00,1.00,0.67,0.80,1.00,10,13,23
1.00,1.00,0.67,0.90,0.33,8,12,25
1.00,1.00,0.67,1.00,0.67,8,12,27
1.00,1.00,1.00,0.80,0.33,10,18,21
1.00,1.00,1.00,0.90,0.67,8,15,24
1.00,1.00,1.00,1.00,1.00,9,16,22
0.33,0.00,0.33,0.80,0.33,8,15,24
0.33,0.00,0.33,0.90,0.67,5,10,30
0.33,0.00,0.33,1.00,1.00,7,12,26
0.33,0.00,0.67,0.80,0.67,8,14,24
0.33,0.00,0.67,0.90,1.00,4,9,28
0.33,0.00,0.67,1.00,0.33,9,15,23
0.33,0.00,1.00,0.80,1.00,9.5,16,21
0.33,0.00,1.00,0.90,0.33,6,12,28
0.33,0.00,1.00,1.00,0.67,5,8,30
0.33,0.50,0.33,0.80,0.67,9,16,22
0.33,0.50,0.33,0.90,1.00,8,15,21
0.33,0.50,0.33,1.00,0.33,7,14,21.5
0.33,0.50,0.67,0.80,1.00,8,15,21
0.33,0.50,0.67,0.90,0.33,7,14,21
0.33,0.50,0.67,1.00,0.67,6,12,25
0.33,0.50,1.00,0.80,0.33,8,13,22
0.33,0.50,1.00,0.90,0.67,7,12,24
0.33,0.50,1.00,1.00,1.00,8,13,22.5
0.33,1.00,0.33,0.80,1.00,6,10,27
0.33,1.00,0.33,0.90,0.33,7,9,26
0.33,1.00,0.33,1.00,0.67,6,8,28
0.33,1.00,0.67,0.80,0.33,9,12,23
0.33,1.00,0.67,0.90,0.67,5,8,31
0.33,1.00,0.67,1.00,1.00,6,9,28
0.33,1.00,1.00,0.80,0.67,8,11,24
0.33,1.00,1.00,0.90,1.00,7,10,23
0.33,1.00,1.00,1.00,0.33,8,12,21
0.67,0.00,0.33,0.80,0.67,3,5,35
0.67,0.00,0.33,0.90,1.00,3,4,32
0.67,0.00,0.33,1.00,0.33,5,8,30
0.67,0.00,0.67,0.80,1.00,2,3,43
0.67,0.00,0.67,0.90,0.33,2,4,45
0.67,0.00,0.67,1.00,0.67,1,3,48
0.67,0.00,1.00,0.80,0.33,3,5,42
0.67,0.00,1.00,0.90,0.67,3,4,43
0.67,0.00,1.00,1.00,1.00,4,6,40
0.67,0.50,0.33,0.80,1.00,5,8,33
0.67,0.50,0.33,0.90,0.33,4,7,37
0.67,0.50,0.33,1.00,0.67,4,6,34
0.67,0.50,0.67,0.80,0.33,5,8,32
0.67,0.50,0.67,0.90,0.67,2.5,3,39
0.67,0.50,0.67,1.00,1.00,4,5,37
0.67,0.50,1.00,0.80,0.67,5,7,35
0.67,0.50,1.00,0.90,1.00,4,5.5,38
0.67,0.50,1.00,1.00,0.33,6,8,34
0.67,1.00,0.33,0.80,0.33,7,8,33
0.67,1.00,0.33,0.90,0.67,6,5,41
0.67,1.00,0.33,1.00,1.00,7,8,39
0.67,1.00,0.67,0.80,0.67,5,4,41
0.67,1.00,0.67,0.90,1.00,3,3,43
0.67,1.00,0.67,1.00,0.33,5.5,7,38
0.67,1.00,1.00,0.80,1.00,8,10,34
0.67,1.00,1.00,0.90,0.33,7,8,35
0.67,1.00,1.00,1.00,0.67,7,9,34
1.00,0.00,0.33,0.80,1.00,9,12,30
1.00,0.00,0.33,0.90,0.33,8,11,32
1.00,0.00,0.33,1.00,0.67,8.5,13,31
1.00,0.00,0.67,0.80,0.33,7,10,33
1.00,0.00,0.67,0.90,0.67,5,7,38
