STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE,BLOCKID10,PARTFLG,County Name,Block Group,Tract,Longitude,Latitude,HOUSING10,POP10,Tot_Traffic1_BLK,Total_Features
37,1,20601,1005,3.7001E+14,N,Alamance,3.7001E+11,37001020601,-79.496888,36.09953,0,0,740217,740217
37,1,20701,2020,3.7001E+14,N,Alamance,3.7001E+11,37001020701,-79.469652,36.068964,25,33,556090,556148
37,1,21000,2022,3.7001E+14,N,Alamance,3.7001E+11,37001021000,,,30,77,550340,550447
37,1,21400,2036,3.7001E+14,N,Alamance,3.7001E+11,37001021400,,,63,155,543750,543968
37,1,20602,2049,3.7001E+14,N,Alamance,3.7001E+11,37001020602,,,30,52,524010,524092
37,1,20100,1017,3.7001E+14,N,Alamance,3.7001E+11,37001020100,-79.44676,36.100248,15,30,482610,482655
37,1,20702,1007,3.7001E+14,N,Alamance,3.7001E+11,37001020702,,,0,0,460000,460000
37,1,21703,1093,3.7001E+14,N,Alamance,3.7001E+11,37001021703,,,4,19,434861,434884
37,1,21101,1001,3.7001E+14,N,Alamance,3.7001E+11,37001021101,-79.371349,36.084397,0,0,400100,400100
37,1,20802,2004,3.7001E+14,N,Alamance,3.7001E+11,37001020802,,,18,43,398280,398341
37,1,20801,2001,3.7001E+14,N,Alamance,3.7001E+11,37001020801,,,0,0,394380,394380
37,1,20200,4004,3.7001E+14,N,Alamance,3.7001E+11,37001020200,,,0,0,388230,388230
37,1,21201,1075,3.7001E+14,N,Alamance,3.7001E+11,37001021201,-79.355733,36.094655,38,90,368370,368498
37,1,20501,1000,3.7001E+14,N,Alamance,3.7001E+11,37001020501,-79.466122,36.13231,10,18,361721,361749
37,1,21205,2010,3.7001E+14,N,Alamance,3.7001E+11,37001021205,,,8,18,359240,359266
37,1,20901,1005,3.7001E+14,N,Alamance,3.7001E+11,37001020901,,,0,0,352620,352620
37,1,20300,2001,3.7001E+14,N,Alamance,3.7001E+11,37001020300,,,212,584,340790,341586
37,1,20400,1003,3.7001E+14,N,Alamance,3.7001E+11,37001020400,-79.462578,36.125949,123,279,333020,333422
37,1,21204,3046,3.7001E+14,N,Alamance,3.7001E+11,37001021204,,,2,7,275190,275199
37,1,20502,1020,3.7001E+14,N,Alamance,3.7001E+11,37001020502,,,63,137,228968,229168
37,1,21600,2005,3.7001E+14,N,Alamance,3.7001E+11,37001021600,-79.529926,36.134475,23,60,222230,222313
37,1,21300,4018,3.7001E+14,N,Alamance,3.7001E+11,37001021300,,,159,401,193810,194370
37,1,21702,2047,3.7001E+14,N,Alamance,3.7001E+11,37001021702,,,0,0,165800,165800
37,1,21500,1028,3.7001E+14,N,Alamance,3.7001E+11,37001021500,-79.506259,36.179077,21,52,106220,106293
37,1,21207,1018,3.7001E+14,N,Alamance,3.7001E+11,37001021207,,,0,0,104870,104870
37,1,21801,2010,3.7001E+14,N,Alamance,3.7001E+11,37001021801,,,0,0,89810,89810
37,1,21901,2030,3.7001E+14,N,Alamance,3.7001E+11,37001021901,,,0,0,87090,87090
37,1,21102,3015,3.7001E+14,N,Alamance,3.7001E+11,37001021102,-79.391479,36.041722,8,16,69700,69724
37,1,20902,1041,3.7001E+14,N,Alamance,3.7001E+11,37001020902,,,0,0,66110,66110
37,1,21206,3007,3.7001E+14,N,Alamance,3.7001E+11,37001021206,,,0,0,41810,41810
37,1,22001,1048,3.7001E+14,N,Alamance,3.7001E+11,37001022001,-79.357472,36.018973,4,12,40960,40976
37,1,21701,2023,3.7001E+14,N,Alamance,3.7001E+11,37001021701,,,27,74,37480,37581
37,1,22002,1020,3.7001E+14,N,Alamance,3.7001E+11,37001022002,,,0,0,29230,29230
37,1,21902,3022,3.7001E+14,N,Alamance,3.7001E+11,37001021902,,,0,0,27800,27800
37,1,21803,1014,3.7001E+14,N,Alamance,3.7001E+11,37001021803,,,6,16,16440,16462
37,1,21802,2016,3.7001E+14,N,Alamance,3.7001E+11,37001021802,,,2,7,14550,14559
37,3,40600,1000,3.7003E+14,N,Alexander,3.7003E+11,37003040600,-81.141377,35.883271,107,275,478710,479092
37,3,40500,1000,3.7003E+14,N,Alexander,3.7003E+11,37003040500,-81.047756,35.86744,93,217,449980,450290
37,3,40700,1000,3.7003E+14,N,Alexander,3.7003E+11,37003040700,-81.268382,35.845219,97,230,434240,434567
37,3,40400,1000,3.7003E+14,N,Alexander,3.7003E+11,37003040400,-81.130068,35.93955,20,36,356090,356146
37,3,40100,1000,3.7003E+14,N,Alexander,3.7003E+11,37003040100,-81.091866,36.009209,25,58,332270,332353
37,3,40300,1000,3.7003E+14,N,Alexander,3.7003E+11,37003040300,-81.228617,35.917756,32,86,257080,257198
37,3,40200,1001,3.7003E+14,N,Alexander,3.7003E+11,37003040200,-81.139585,36.015256,4,5,106870,106879
37,5,950200,1000,3.7006E+14,N,Alleghany,3.7006E+11,37005950200,-81.072554,36.562504,1,0,1318910,1318911
37,5,950300,1000,3.7006E+14,N,Alleghany,3.7006E+11,37005950300,-81.147957,36.563894,15,34,1043415,1043464
37,5,950100,1000,3.7006E+14,N,Alleghany,3.7006E+11,37005950100,-80.944352,36.560301,25,65,558390,558480
37,7,920300,1000,3.70079E+14,N,Anson,3.70079E+11,37007920300,-80.25101,35.167092,26,52,939910,939988
37,7,920200,1001,3.70079E+14,N,Anson,3.70079E+11,37007920200,-80.115095,35.186769,3,0,850190,850193
37,7,920400,1001,3.70079E+14,N,Anson,3.70079E+11,37007920400,-80.051326,35.050854,2,8,797970,797980
37,7,920100,1001,3.70079E+14,N,Anson,3.70079E+11,37007920100,-79.952458,35.095469,1,0,680330,680331
37,7,920500,1008,3.70079E+14,N,Anson,3.70079E+11,37007920500,-80.131549,34.959131,28,69,569680,569777
37,7,920600,1000,3.70079E+14,N,Anson,3.70079E+11,37007920600,-80.08539,34.908732,6,12,290610,290628
37,9,970200,1000,3.701E+14,N,Ashe,3.701E+11,37009970200,-81.509183,36.571442,31,53,1155560,1155644
37,9,970300,1001,3.701E+14,N,Ashe,3.701E+11,37009970300,-81.627369,36.574263,13,11,790740,790764
37,9,970400,1000,3.701E+14,N,Ashe,3.701E+11,37009970400,-81.574572,36.441463,215,408,711760,712383
37,9,970500,1001,3.701E+14,N,Ashe,3.701E+11,37009970500,-81.440852,36.472497,63,123,696390,696576
37,9,970700,1000,3.701E+14,N,Ashe,3.701E+11,37009970700,-81.531434,36.403694,70,115,637760,637945
37,9,970800,1000,3.701E+14,N,Ashe,3.701E+11,37009970800,-81.355434,36.564471,10,13,497460,497483
37,11,930200,1012,3.70119E+14,N,Avery,3.70119E+11,37011930200,-81.863399,36.144867,1,0,952572,952573
37,11,930100,1000,3.70119E+14,N,Avery,3.70119E+11,37011930100,-81.85709,36.168422,187,122,691300,691609
37,11,930400,1011,3.70119E+14,N,Avery,3.70119E+11,37011930400,-82.028303,35.965214,13,28,659880,659921
37,11,930302,1011,3.70119E+14,N,Avery,3.70119E+11,37011930302,-81.979139,36.16576,1,2,204460,204463
37,11,930301,1004,3.70119E+14,N,Avery,3.70119E+11,37011930301,-81.939846,36.170771,4,3,126290,126297
37,13,930600,1009,3.70139E+14,N,Beaufort,3.70139E+11,37013930600,-76.864613,35.607927,5,11,888643,888659
37,13,931000,1002,3.70139E+14,N,Beaufort,3.70139E+11,37013931000,-77.118758,35.526079,9,27,879673,879709
37,13,930900,1004,3.70139E+14,N,Beaufort,3.70139E+11,37013930900,-76.936276,35.432239,37,58,642680,642775
37,13,930300,1000,3.70139E+14,N,Beaufort,3.70139E+11,37013930300,-77.067227,35.584784,9,18,544680,544707
37,13,930800,1030,3.70139E+14,N,Beaufort,3.70139E+11,37013930800,-76.826419,35.367955,5,3,475180,475188
37,13,930700,1009,3.70139E+14,N,Beaufort,3.70139E+11,37013930700,-76.597231,35.39564,59,81,448000,448140
37,13,930501,1002,3.70139E+14,N,Beaufort,3.70139E+11,37013930501,-77.023926,35.536037,0,0,413800,413800
37,13,930502,1007,3.70139E+14,N,Beaufort,3.70139E+11,37013930502,-76.945732,35.563286,24,58,352860,352942
37,15,960200,1005,3.7016E+14,N,Bertie,3.7016E+11,37015960200,-77.129247,36.221686,11,28,1173577,1173616
37,15,960100,1004,3.7016E+14,N,Bertie,3.7016E+11,37015960100,-76.765391,36.201182,18,27,1054540,1054585
37,15,960300,1001,3.7016E+14,N,Bertie,3.7016E+11,37015960300,-77.194834,36.198251,10,14,1028153,1028177
37,15,960400,1006,3.7016E+14,N,Bertie,3.7016E+11,37015960400,-76.969299,36.064906,10,21,738920,738951
37,17,950400,1009,3.7018E+14,N,Bladen,3.7018E+11,37017950400,-78.604482,34.628516,1,1,620391,620393
37,17,950500,1000,3.7018E+14,N,Bladen,3.7018E+11,37017950500,-78.763804,34.603381,4,12,583130,583146
37,17,950600,1004,3.7018E+14,N,Bladen,3.7018E+11,37017950600,-78.305825,34.395231,37,58,166551,166646
37,19,20404,1003,3.7019E+14,N,Brunswick,3.7019E+11,37019020404,-78.32385,33.998096,34,49,344864,344947
37,19,20202,1012,3.7019E+14,N,Brunswick,3.7019E+11,37019020202,-77.982553,34.220439,66,133,295380,295579
37,19,20104,1006,3.7019E+14,N,Brunswick,3.7019E+11,37019020104,-78.047598,34.256886,69,177,277350,277596
37,19,20204,1004,3.7019E+14,N,Brunswick,3.7019E+11,37019020204,-78.101,34.073508,47,114,226070,226231
37,19,20306,1024,3.7019E+14,N,Brunswick,3.7019E+11,37019020306,-78.022525,33.965446,12,19,193759,193790
37,19,20402,3035,3.7019E+14,N,Brunswick,3.7019E+11,37019020402,-78.272704,33.913645,23,7,187290,187320
37,19,20103,1001,3.7019E+14,N,Brunswick,3.7019E+11,37019020103,-78.057314,34.25508,43,105,175580,175728
37,19,20310,1039,3.7019E+14,N,Brunswick,3.7019E+11,37019020310,-78.106564,33.912193,0,0,122000,122000
37,19,20307,1097,3.7019E+14,N,Brunswick,3.7019E+11,37019020307,,,0,0,115030,115030
37,19,20506,1002,3.7019E+14,N,Brunswick,3.7019E+11,37019020506,-78.400323,33.957219,15,28,106190,106233
37,19,20505,1003,3.7019E+14,N,Brunswick,3.7019E+11,37019020505,-78.532392,34.060889,61,136,103260,103457
37,19,20507,1000,3.7019E+14,N,Brunswick,3.7019E+11,37019020507,-78.610074,33.926391,19,35,91320,91374
37,19,20305,1027,3.7019E+14,N,Brunswick,3.7019E+11,37019020305,-78.062171,33.934897,20,19,90980,91019
37,19,20509,1000,3.7019E+14,N,Brunswick,3.7019E+11,37019020509,-78.553861,33.897328,139,231,89970,90340
37,19,20603,1000,3.7019E+14,N,Brunswick,3.7019E+11,37019020603,-78.141519,34.076342,2,2,72460,72464
37,19,20508,1000,3.7019E+14,N,Brunswick,3.7019E+11,37019020508,-78.50196,33.940561,61,128,70770,70959
37,19,20403,1000,3.7019E+14,N,Brunswick,3.7019E+11,37019020403,-78.346362,33.960323,98,174,70646,70918
37,19,20203,1001,3.7019E+14,N,Brunswick,3.7019E+11,37019020203,-78.055569,34.195259,13,31,69930,69974
37,19,20304,2000,3.7019E+14,N,Brunswick,3.7019E+11,37019020304,-78.050119,33.949983,68,120,63930,64118
37,19,20201,1017,3.7019E+14,N,Brunswick,3.7019E+11,37019020201,-77.996718,34.226825,33,62,56040,56135
37,19,20102,1007,3.7019E+14,N,Brunswick,3.7019E+11,37019020102,-78.107066,34.310119,10,31,52860,52901
37,19,20308,2010,3.7019E+14,N,Brunswick,3.7019E+11,37019020308,-78.221246,33.914254,90,23,47680,47793
37,19,20510,2021,3.7019E+14,N,Brunswick,3.7019E+11,37019020510,-78.486973,33.896312,2,13,36680,36695
37,19,20101,1005,3.7019E+14,N,Brunswick,3.7019E+11,37019020101,-78.135331,34.335692,13,41,23810,23864
37,19,20504,1012,3.7019E+14,N,Brunswick,3.7019E+11,37019020504,-78.611012,33.932086,57,103,23200,23360
37,19,20405,1005,3.7019E+14,N,Brunswick,3.7019E+11,37019020405,-78.277814,34.013041,9,29,20720,20758
37,19,20512,1036,3.7019E+14,N,Brunswick,3.7019E+11,37019020512,-78.504272,33.869323,33,3,17400,17436
37,19,20309,1056,3.7019E+14,N,Brunswick,3.7019E+11,37019020309,,,16,11,14520,14547
37,19,20303,1000,3.7019E+14,N,Brunswick,3.7019E+11,37019020303,-78.197864,33.983998,170,384,11970,12524
37,19,20511,1010,3.7019E+14,N,Brunswick,3.7019E+11,37019020511,-78.37507,33.927862,1,1,4870,4872
37,19,990100,21,3.702E+14,N,Brunswick,3.702E+11,37019990100,,,0,0,,0
37,21,100,1009,3.7021E+14,N,Buncombe,3.7021E+11,37021000100,-82.550992,35.595695,9,7,2125320,2125336
37,21,600,1011,3.7021E+14,N,Buncombe,3.7021E+11,37021000600,-82.537967,35.599757,30,50,2066390,2066470
37,21,1400,1003,3.7021E+14,N,Buncombe,3.7021E+11,37021001400,-82.590153,35.605743,0,0,1886160,1886160
37,21,500,1028,3.7021E+14,N,Buncombe,3.7021E+11,37021000500,-82.530097,35.622925,10,23,1574490,1574523
37,21,1200,1000,3.7021E+14,N,Buncombe,3.7021E+11,37021001200,-82.595293,35.586848,19,30,1537800,1537849
37,21,700,1002,3.7021E+14,N,Buncombe,3.7021E+11,37021000700,-82.546513,35.598528,0,1,1348290,1348291
37,21,1100,1004,3.7021E+14,N,Buncombe,3.7021E+11,37021001100,-82.582621,35.582707,0,0,1292153,1292153
37,21,200,1001,3.7021E+14,N,Buncombe,3.7021E+11,37021000200,-82.573289,35.598563,53,122,1276890,1277065
37,21,1801,1027,3.7021E+14,N,Buncombe,3.7021E+11,37021001801,-82.533711,35.596185,6,9,1174620,1174635
37,21,1500,1003,3.7021E+14,N,Buncombe,3.7021E+11,37021001500,-82.575746,35.634271,197,314,1094090,1094601
37,21,800,2022,3.7021E+14,N,Buncombe,3.7021E+11,37021000800,-82.526091,35.584298,39,62,1068280,1068381
37,21,400,1034,3.7021E+14,N,Buncombe,3.7021E+11,37021000400,-82.573703,35.62092,0,0,1064020,1064020
37,21,900,1000,3.7021E+14,N,Buncombe,3.7021E+11,37021000900,-82.551223,35.590244,1,1,1023880,1023882
37,21,2702,1001,3.7021E+14,N,Buncombe,3.7021E+11,37021002702,-82.576362,35.723313,91,182,801030,801303
37,21,3201,1007,3.7021E+14,N,Buncombe,3.7021E+11,37021003201,-82.481918,35.554209,44,110,685940,686094
37,21,1700,1000,3.7021E+14,N,Buncombe,3.7021E+11,37021001700,-82.525527,35.626181,193,359,675960,676512
37,21,300,1000,3.7021E+14,N,Buncombe,3.7021E+11,37021000300,-82.567638,35.612329,0,0,656900,656900
37,21,1300,1041,3.7021E+14,N,Buncombe,3.7021E+11,37021001300,-82.635412,35.567923,56,120,640220,640396
37,21,3103,1003,3.7021E+14,N,Buncombe,3.7021E+11,37021003103,-82.318939,35.614976,0,0,586020,586020
